ID,Titre,Durée (minutes),Langue Originale,Note moyenne,Score de popularité,Décénnie,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western
tt0082351,Eye of the Needle,0.43506493506493504,en,0.6432188312576981,0.0011867875958689574,0.0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0
tt0082138,Carbon Copy,0.3311688311688312,en,0.533734774873409,0.0009046308098312383,0.0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
tt0083170,Tarzan: The Ape Man,0.4285714285714286,en,0.2832899958943479,0.001983349998791599,0.0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0083133,Student Bodies,0.29220779220779225,en,0.4867934856986451,0.0010327409940210663,0.0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
tt0082509,Heavy Metal,0.31818181818181823,en,0.628027918434378,0.003429501771241189,0.0,0,3,3,0,0,0,0,0,3,0,0,3,0,0,3,0,0,0,0
tt0082432,Gallipoli,0.461038961038961,en,0.7097303955111537,0.001935013947701572,0.0,0,3,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0
tt0082350,An Eye for an Eye,0.42207792207792205,en,0.46585465991514985,0.0014917369913637626,0.0,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0082245,Deadly Blessing,0.3831168831168831,en,0.49267825372930063,0.001444972844374224,0.0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
tt0082945,Prince of the City,0.8181818181818182,en,0.7253318735459149,0.0007967588909352024,0.0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0
tt0082173,Le choix des armes,0.6103896103896104,fr,0.6441768167510606,0.0010586774116791296,0.0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0
tt0082010,An American Werewolf in London,0.36363636363636365,en,0.7476392500342138,0.004281080817680935,0.0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
tt0082948,Private Lessons,0.2987012987012987,en,0.5340084850143697,0.005428963787062797,0.0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
tt0082346,Evilspeak,0.33766233766233766,en,0.4653072396332284,0.0013571427027594188,0.0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
tt0082416,The French Lieutenant's Woman,0.538961038961039,en,0.629533324209662,0.0024841979428098064,0.0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0
tt0082089,Body Heat,0.4675324675324676,en,0.7043930477624195,0.002306965755479707,0.0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,3,0,0
tt0082511,Hell Night,0.38961038961038963,en,0.5077323114821405,0.0016062895026868755,0.0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
tt0157894,The Killing of America,0.31818181818181823,en,0.7253318735459149,0.0005222651373873656,0.0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0182996,Don't Go in the Woods,0.26623376623376627,en,0.2873956480087587,0.0008097270997642341,0.0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
tt0082935,Pour la peau d'un flic,0.4155844155844156,fr,0.533734774873409,0.0010848103173497542,0.0,3,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,3,0,0
tt0083907,The Evil Dead,0.2857142857142857,en,0.7403859312987545,0.021906841496460563,0.0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
tt0082054,Beau-père,0.5324675324675325,fr,0.6484193239359518,0.003676487203030474,0.0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0
tt0082200,Continental Divide,0.4025974025974026,en,0.5747912960175174,0.001365002223261862,0.0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
tt0082766,Mommie Dearest,0.564935064935065,en,0.6205008895579581,0.0025449127386911814,0.0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
tt0083111,Southern Comfort,0.4155844155844156,en,0.6831805118379637,0.002286531002173354,0.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
tt0082436,Garde à vue,0.27922077922077926,fr,0.7785684959627756,0.0011867875958689574,0.0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0
tt0082094,The Boogens,0.35064935064935066,en,0.4900780073901738,0.0007093217253455193,0.0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
tt0083232,True Confessions,0.43506493506493504,en,0.5611057889694814,0.0011068169747565956,0.0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0
tt0082370,La Femme d'à côté,0.42207792207792205,fr,0.7116463664978787,0.0011453286252185685,0.0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0
tt0082431,Galaxy of Terror,0.2597402597402597,en,0.4577802107568085,0.001545967682830622,0.0,3,3,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0
tt0083316,The Wave,0.019480519480519487,en,0.6979608594498427,0.0010278287937070393,0.0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3,0,0
tt0082783,My Dinner with Andre,0.44805194805194803,en,0.7703571917339537,0.002976793390300448,0.0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
tt0082592,Just Before Dawn,0.31818181818181823,en,0.5747912960175174,0.001181285931517247,0.0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0
tt0082243,Strange Behavior,0.37662337662337664,en,0.5063637607773368,0.001137665592728686,0.0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,3,0,0
tt0082527,Hospital Massacre,0.3116883116883117,en,0.45162173258519234,0.0008470598221508403,0.0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0
tt0082949,Le Professionnel,0.43506493506493504,fr,0.7362802791843438,0.0016740778670204497,0.0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
tt0086113,The Pit,0.36363636363636365,en,0.5158067606404817,0.0008932345051026955,0.0,0,0,0,3,0,0,0,0,0,0,3,0,3,0,0,0,3,0,0
tt0082818,Nightmare,0.37662337662337664,en,0.5143013548651978,0.0009337110356902791,0.0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
tt0082235,Dark Night of the Scarecrow,0.3571428571428571,en,0.6246065416723691,0.0016756497711209386,0.0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0
tt0082726,Le Maître d'école,0.35064935064935066,fr,0.5753387162994389,0.0008906801609394014,0.0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0083033,Saturday the 14th,0.2207792207792208,en,0.4268509648282469,0.0007833977060810486,0.0,0,0,0,3,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0
tt0083067,Shock Treatment,0.3441558441558442,en,0.533734774873409,0.001098957454254152,0.0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
tt0082495,Halloween II,0.3311688311688312,en,0.6374709182975229,0.0031567764098064024,0.0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
tt0082696,Madman,0.30519480519480524,en,0.43793622553715605,0.0015821214771418617,0.0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0
tt0082677,Looker,0.3441558441558442,en,0.5663062816477351,0.0012465199516875276,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0
tt0082206,Coup de torchon,0.564935064935065,fr,0.6979608594498427,0.0014487061166128846,0.0,0,0,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0
tt0082951,The Prowler,0.3116883116883117,en,0.5550841658683455,0.0015958756380211377,0.0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,0
tt0083001,Roar,0.39610389610389607,en,0.5433146298070344,0.0015508798831446492,0.0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
tt0084522,Porky's,0.3441558441558442,en,0.6169426577254687,0.0033552293024930986,0.0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0081974,Absence of Malice,0.487012987012987,en,0.652251265909402,0.0016842952436736266,0.0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,3,0,0
tt0082679,"The Looney, Looney, Looney Bugs Bunny Movie",0.24675324675324672,en,0.7253318735459149,0.0017096421972940066,0.0,0,0,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
tt0082970,Ragtime,0.7402597402597403,en,0.7134254824141235,0.0016015737903854093,0.0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0
tt0082813,"Butcher, Baker, Nightmare Maker",0.3571428571428571,en,0.6924866566306281,0.0010852032933748763,0.0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0
tt0084854,Venom,0.33766233766233766,en,0.533734774873409,0.001688225003924848,0.0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0
tt0082846,On Golden Pond,0.4415584415584416,en,0.7407964965101957,0.0019804026786031824,0.0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0
tt0082539,Hôtel des Amériques,0.35064935064935066,fr,0.5884768030655536,0.00044445588441317585,0.0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0
tt0083109,La Soupe aux choux,0.3701298701298701,fr,0.6088682085671274,0.0022372125110205216,0.0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
tt0083326,Whose Life Is It Anyway?,0.5064935064935066,en,0.6842753524018066,0.0004994725279302797,0.0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
tt0082183,La Chèvre,0.3441558441558442,fr,0.7253318735459149,0.0016182752714531017,0.0,0,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0082894,Pennies from Heaven,0.43506493506493504,en,0.5747912960175174,0.0009649526296874919,0.0,0,0,0,0,0,0,3,0,0,0,0,3,0,3,0,0,0,0,0
tt0082041,Les Babas-cool,0.2597402597402597,fr,0.45162173258519234,0.0007437071275437092,0.0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0082801,Neighbors,0.35064935064935066,en,0.5234706445873819,0.0014029244096861518,0.0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0082449,Ghost Story,0.44805194805194803,en,0.5672642671410976,0.001983742974816721,0.0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0
tt0083064,Sharky's Machine,0.525974025974026,en,0.5747912960175174,0.0012188151419164144,0.0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0
tt0083169,Taps,0.551948051948052,en,0.6725058163404954,0.002713106477443471,0.0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0
tt0082694,Mad Max 2,0.3571428571428571,en,0.7511974818667032,0.004271059929040318,0.0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0
tt0082763,Modern Problems,0.3116883116883117,en,0.4828246886547146,0.0009427494842680891,0.0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0
tt0082979,Reds,1.0,en,0.6823593814150815,0.0018872673606492281,0.0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,0,0,0
tt0084861,Vice Squad,0.36363636363636365,en,0.6010674695497468,0.0006802414994864787,0.0,3,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,3,0,0
tt0082471,Le Grand Pardon,0.577922077922078,fr,0.5910770494046805,0.0008423441098493743,0.0,0,0,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0
tt0082690,Ma femme s'appelle reviens,0.2857142857142857,fr,0.45162173258519234,0.0004029969137627867,0.0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
tt0082342,"Espion, lève-toi",0.3701298701298701,fr,0.7691254960996304,0.0007694470571892114,0.0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0
tt0083678,The Border,0.43506493506493504,en,0.5747912960175174,0.0017277190944496265,0.0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0
tt0082749,Mille milliards de dollars,0.5909090909090909,fr,0.6569043383057342,0.0005332684660907866,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
tt0084445,One from the Heart,0.4285714285714286,en,0.5063637607773368,0.001183250811642858,0.0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0
tt0084335,Missing,0.5324675324675325,en,0.737511974818667,0.0012675441690315637,0.0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0
tt0083629,The Beast Within,0.3701298701298701,en,0.49267825372930063,0.0012416077513735004,0.0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
tt0084745,Swamp Thing,0.3246753246753247,en,0.48186670316135216,0.002358445614770711,0.0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0
tt0082250,Death Wish II,0.3311688311688312,en,0.6021623101135897,0.0022869239781984764,0.0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0
tt0084287,Made in Britain,0.2272727272727273,en,0.7027507869166553,0.0016121841430637078,0.0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,3,0,0,0
tt0086340,Sorceress,0.2727272727272727,en,0.32092514027644725,0.0008205339404550938,0.0,3,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
tt0083908,Evil Under the Sun,0.49350649350649356,en,0.6840016422608457,0.002336635445376431,0.0,0,0,0,0,3,0,3,0,0,0,0,0,3,0,0,0,3,0,0
tt0083110,Les Sous-Doués En Vacances,0.35064935064935066,fr,0.4870671958396058,0.0009594509653357813,0.0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0084472,Parasite,0.2857142857142857,en,0.41056521144108393,0.0015567745235214817,0.0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0
tt0084597,Richard Pryor: Live on the Sunset Strip,0.26623376623376627,en,0.7527028876419871,0.0009154376505220983,0.0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0084469,Paradise,0.3831168831168831,en,0.6021623101135897,0.0019369788278271825,0.0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
tt0083806,Deathtrap,0.487012987012987,en,0.6482824688654714,0.001377970432090894,0.0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0
tt0084315,Les maîtres du temps,0.2207792207792208,fr,0.7618721773641713,0.0009183849707105145,0.0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,3,0,0,0,0
tt0083869,Eating Raoul,0.2987012987012987,en,0.629533324209662,0.0011467040413064961,0.0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
